"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",0.117556027294683,0.0960742732092665,0.112199765985604,0.095329664497986,0.127729578653215,0.102298005396993,0.0936262959173224,0.108325096548487,0.0940811778402131,0.113084106565625,0.113923878622208,0.102509572673043,0.0988581324794697,0.110593985691799,0.102538897824405,0.106621991608412
"2",0.108699413141126,0.119510909938512,0.11047842816573,0.101370053141038,0.107142506084138,0.125395138618901,0.100697988109285,0.116365178181929,0.114785347420813,0.102081905075791,0.112740418310708,0.103752189007755,0.107386371116222,0.115376155164496,0.110246555646016,0.102527620119117
"3",0.0927744808731787,0.101221708421947,0.0878151119970168,0.111389466035169,0.112112851300754,0.0986907940648723,0.105968917907417,0.106145554100094,0.112491615777718,0.112992618039687,0.102847682922235,0.0958466675297914,0.106996231878224,0.092903284601441,0.111537302109119,0.112966970264498
"4",0.0980950845426699,0.106432427565542,0.104886936647446,0.0970597814389566,0.0893532413315062,0.114510723888252,0.0996973050886779,0.108166296034988,0.0968680196589784,0.106658402266221,0.0978394882968956,0.0958754304715667,0.104621981602958,0.102959550258094,0.111663547193547,0.104422421399948
"5",0.108163272221277,0.0996789526067697,0.101639620262168,0.0987019609726392,0.0933688623931974,0.102738526429038,0.0919222361269845,0.0988534324895611,0.11574408913271,0.124517674840494,0.0977097631017711,0.0996044507445627,0.0945975879754192,0.114776201489402,0.132248532390116,0.113121229142499
"6",0.108718263814259,0.12136357263436,0.0991188755975884,0.112411667211336,0.10310938890497,0.117930655699135,0.112575614781529,0.0962278530258049,0.0966198346183139,0.133814830317176,0.0877942033024936,0.0981572868418796,0.0988824897150023,0.119036487217618,0.116661058303231,0.102146394022212
"7",0.107980884220133,0.109392993278706,0.104556140742718,0.0958950898463637,0.105894853400784,0.103956280984234,0.102801750443056,0.109517106978312,0.0986777542833435,0.102492015963437,0.112471639004561,0.116245918032651,0.115760719255538,0.0965312920704161,0.0990608628351578,0.12813601988044
"8",0.106234834567639,0.0979795270409265,0.102683750969366,0.0992743401940804,0.120880149395315,0.106955635807063,0.113284371349611,0.112957764883784,0.103134932684312,0.101378369164751,0.105631019943365,0.114084639462016,0.108196159702327,0.103874136169933,0.105761875637481,0.0967208377732817
"9",0.100201289073033,0.102832446353866,0.113488983250454,0.0911865206181295,0.104882944634999,0.104230807519351,0.102360310749385,0.0943767026722816,0.0997122564281026,0.104126567564472,0.101698827472474,0.111219875378629,0.105462695195633,0.106957823675847,0.106180825092129,0.104547675851459
"10",0.0982965521124234,0.0917102388896591,0.13571775558416,0.102284094362858,0.103982843666685,0.100700155763477,0.110434402830946,0.0937106972102867,0.120294398937918,0.0991881933174687,0.0952605755351779,0.0964621577953261,0.110032546615617,0.102749220473674,0.108862102764459,0.096997034586872
